id,school_id,strand_id,name,official_wording,teacher_friendly_explanation,example_classroom_opportunities,search_keywords,related_connections,display_order,active
00000000-0000-4000-8600-000000000001,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8500-000000000001,Listening for meaning,,Learners listen actively and identify key points in spoken ideas.,"{Structured seminar,Peer explanation,Debate preparation}","{oracy,listening,discussion}","{Collaborative discussion,Presenting information}",1,true
00000000-0000-4000-8600-000000000002,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8500-000000000001,Collaborative discussion,,Learners build on contributions and use talk to shape shared understanding.,"{Group enquiry roles,Think-pair-share,Project critique circle}","{oracy,collaboration,talk}","{Listening for meaning,Presenting information}",2,true
00000000-0000-4000-8600-000000000003,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8500-000000000001,Presenting information,,Learners organise and communicate information clearly for a chosen audience.,"{Short presentation,Podcast script,Exhibition talk}","{oracy,presentation,audience}","{Audience and purpose}",3,true
00000000-0000-4000-8600-000000000004,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8500-000000000002,Locating information,,Learners find relevant details from texts diagrams sources and digital materials.,"{Source investigation,Information hunt,Research note taking}","{reading,sources,research}","{Comparing sources}",1,true
00000000-0000-4000-8600-000000000005,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8500-000000000002,Inference and deduction,,Learners use evidence to read beyond obvious information and justify interpretations.,"{Character evidence grid,Historical source inference,Scientific explanation reading}","{reading,inference,evidence}","{Comparing sources}",2,true
00000000-0000-4000-8600-000000000006,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8500-000000000002,Comparing sources,,Learners compare viewpoints reliability and purpose across sources.,"{News comparison,Primary and secondary source check,Website reliability review}","{reading,viewpoint,reliability}","{Inference and deduction}",3,true
00000000-0000-4000-8600-000000000007,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8500-000000000003,Planning writing,,Learners plan structure content and sequence before producing written work.,"{Writing frame,Storyboard,Report plan}","{writing,planning,structure}","{Technical accuracy,Audience and purpose}",1,true
00000000-0000-4000-8600-000000000008,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8500-000000000003,Technical accuracy,,Learners edit spelling punctuation grammar and vocabulary choices.,"{Redrafting checklist,Peer editing,Subject vocabulary focus}","{writing,editing,accuracy}","{Planning writing}",2,true
00000000-0000-4000-8600-000000000009,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8500-000000000003,Audience and purpose,,Learners adapt tone register and form to suit the intended reader.,"{Campaign leaflet,Formal report,Museum label}","{writing,audience,purpose}","{Presenting information}",3,true
00000000-0000-4000-8600-000000000010,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8500-000000000004,Use of calculation,,Learners choose and apply calculations in meaningful subject contexts.,"{Budget comparison,Recipe scaling,Science formula practice}","{numeracy,calculation,number}","{Justifying decisions}",1,true
00000000-0000-4000-8600-000000000011,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8500-000000000006,Collecting data,,Learners gather data fairly and record it in usable forms.,"{Survey design,Fieldwork tally,Experiment results table}","{data,collecting,tables}","{Representing data,Interpreting trends}",1,true
00000000-0000-4000-8600-000000000012,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8500-000000000006,Interpreting trends,,Learners describe patterns anomalies and relationships in data.,"{Climate trend discussion,Performance data story,Population graph analysis}","{data,trends,graphs}","{Collecting data,Evaluating accuracy}",2,true
00000000-0000-4000-8600-000000000013,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8500-000000000010,Creating digital content,,Learners combine media and tools to create purposeful digital outcomes.,"{Video explainer,Interactive poster,System portfolio}","{digital,content,media}","{Planning digital products,Evaluating outputs}",1,true
00000000-0000-4000-8600-000000000014,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8500-000000000010,Evaluating outputs,,Learners review digital work against purpose and make improvements.,"{Usability review,Audience feedback,Iteration notes}","{digital,evaluation,review}","{Creating digital content}",2,true
00000000-0000-4000-8600-000000000015,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8500-000000000014,Culture and community,,Learners investigate cultures languages and communities in Wales and beyond.,"{Community research,Cultural celebration analysis,Place-name enquiry}","{diversity,culture,community}","{Identity,Challenging stereotypes}",1,true
00000000-0000-4000-8600-000000000101,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8500-000000000101,Listening for meaning,,Learners listen actively and identify key points in spoken ideas.,"{Structured seminar,Peer explanation,Debate preparation}","{oracy,listening,discussion}","{Collaborative discussion}",1,true
00000000-0000-4000-8600-000000000102,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8500-000000000102,Comparing sources,,Learners compare viewpoints reliability and purpose across sources.,"{News comparison,Primary and secondary source check,Website reliability review}","{reading,viewpoint,reliability}","{Inference and deduction}",1,true
00000000-0000-4000-8600-000000000103,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8500-000000000104,Interpreting trends,,Learners describe patterns anomalies and relationships in data.,"{Climate trend discussion,Performance data story,Population graph analysis}","{data,trends,graphs}","{Collecting data}",1,true
00000000-0000-4000-8600-000000000104,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8500-000000000105,Creating digital content,,Learners combine media and tools to create purposeful digital outcomes.,"{Video explainer,Interactive poster,System portfolio}","{digital,content,media}","{Evaluating outputs}",1,true
00000000-0000-4000-8600-000000000105,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8500-000000000106,Culture and community,,Learners investigate cultures languages and communities in Wales and beyond.,"{Community research,Cultural celebration analysis,Place-name enquiry}","{diversity,culture,community}","{Identity}",1,true
