id,school_id,element_id,progression_step,descriptor
00000000-0000-4000-8700-000000000001,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8600-000000000005,Step 1,Learners identify simple implied meaning with support.
00000000-0000-4000-8700-000000000002,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8600-000000000005,Step 2,Learners use clues from familiar texts to explain simple inference.
00000000-0000-4000-8700-000000000003,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8600-000000000005,Step 3,Learners infer meaning using evidence from increasingly varied texts.
00000000-0000-4000-8700-000000000004,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8600-000000000005,Step 4,"Learners infer meaning and recognise viewpoint, bias and purpose in increasingly complex texts."
00000000-0000-4000-8700-000000000005,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8600-000000000005,Step 5,Learners evaluate subtle inference and explain how writers shape interpretation.
00000000-0000-4000-8700-000000000006,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8600-000000000012,Step 3,Learners describe clear trends from familiar data displays.
00000000-0000-4000-8700-000000000007,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8600-000000000012,Step 4,Learners interpret trends anomalies and relationships in data.
00000000-0000-4000-8700-000000000008,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8600-000000000012,Step 5,Learners evaluate data patterns and explain limits in conclusions.
00000000-0000-4000-8700-000000000009,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8600-000000000013,Step 3,Learners create digital content for a clear audience and purpose.
00000000-0000-4000-8700-000000000010,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8600-000000000013,Step 4,Learners combine digital tools and media to communicate purposeful outcomes.
00000000-0000-4000-8700-000000000011,00000000-0000-4000-8000-000000000001,00000000-0000-4000-8600-000000000013,Step 5,Learners refine digital products for audience purpose and usability.
00000000-0000-4000-8700-000000000101,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8600-000000000102,Step 3,Learners compare information from more than one source.
00000000-0000-4000-8700-000000000102,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8600-000000000102,Step 4,Learners compare viewpoint reliability and purpose across sources.
00000000-0000-4000-8700-000000000103,00000000-0000-4000-8000-000000000002,00000000-0000-4000-8600-000000000102,Step 5,Learners evaluate source reliability and explain how evidence is selected.
