id,strand_id,name,teacher_friendly_explanation,example_classroom_opportunities,display_order,is_active
literacy_listening_meaning,literacy_oracy,Listening for meaning,"Learners listen actively, identify key points and respond to spoken ideas.","Structured seminar|Peer explanation|Debate preparation",1,true
literacy_collaborative_discussion,literacy_oracy,Collaborative discussion,"Learners build on contributions and use talk to shape shared understanding.","Group enquiry roles|Think-pair-share|Project critique circle",2,true
literacy_presenting_information,literacy_oracy,Presenting information,"Learners organise and communicate information clearly for a chosen audience.","Short presentation|Podcast script|Exhibition talk",3,false
literacy_locating_information,literacy_reading,Locating information,"Learners find relevant details from texts, diagrams, sources and digital materials.","Source investigation|Information hunt|Research note taking",1,true
literacy_inference_deduction,literacy_reading,Inference and deduction,"Learners use evidence to read between the lines and justify interpretations.","Character evidence grid|Historical source inference|Scientific explanation reading",2,true
literacy_comparing_sources,literacy_reading,Comparing sources,"Learners compare viewpoints, reliability and purpose across sources.","News comparison|Primary and secondary source check|Website reliability review",3,true
literacy_planning_writing,literacy_writing,Planning writing,"Learners plan structure, content and sequence before producing written work.","Writing frame|Storyboard|Report plan",1,true
literacy_technical_accuracy,literacy_writing,Technical accuracy,"Learners edit spelling, punctuation, grammar and vocabulary choices.","Redrafting checklist|Peer editing|Subject vocabulary focus",2,true
literacy_audience_purpose,literacy_writing,Audience and purpose,"Learners adapt tone, register and form to suit the intended reader.","Campaign leaflet|Formal report|Museum label",3,true
numeracy_calculation,numeracy_number,Use of calculation,"Learners choose and apply calculations in meaningful subject contexts.","Budget comparison|Recipe scaling|Science formula practice",1,true
numeracy_estimating_checking,numeracy_number,Estimating and checking,"Learners estimate, check reasonableness and explain numerical decisions.","Approximate cost planning|Data sense check|Measurement prediction",2,true
numeracy_financial_contexts,numeracy_number,Financial contexts,"Learners apply number skills to money, value and financial decision-making.","Enterprise pricing|Household budget|Cost-benefit comparison",3,false
numeracy_time_scale,numeracy_measuring,Time and scale,"Learners use time, timelines, maps or scale to understand relationships.","Historical timeline|Map scale task|Training plan timings",1,true
