id,subject_id,academic_year_id,term_id,framework_id,strand_id,element_id,unit_topic,learning_activity_description,scheme_of_learning_reference,optional_note,last_mapped_date
history-literacy-reading-locating-information-year-8-local-heritage-source-enquiry,history,year_8,autumn,literacy,literacy_reading,literacy_locating_information,Local heritage source enquiry,Pupils locate details in archive extracts and create evidence notes about Caerleon landmarks.,HIS-Y8-A1,Curriculum mapping entry for visibility only.,2026-04-18
history-literacy-reading-comparing-sources-year-8-caerleon-through-sources,history,year_8,autumn,literacy,literacy_reading,literacy_comparing_sources,Caerleon through sources,Pupils compare museum captions and visitor articles to identify how viewpoint changes the account.,HIS-Y8-A2,Curriculum mapping entry for visibility only.,2026-04-22
french-literacy-oracy-collaborative-discussion-year-9-structured-group-discussion,french,year_9,spring,literacy,literacy_oracy,literacy_collaborative_discussion,Structured group discussion,Pupils use target language prompts to build a shared response to a cultural scenario.,FRE-Y9-S1,Curriculum mapping entry for visibility only.,2026-03-14
welsh-literacy-writing-audience-and-purpose-year-10-persuasive-writing-for-audience,welsh,year_10,summer,literacy,literacy_writing,literacy_audience_purpose,Persuasive writing for audience,Pupils draft a persuasive article and adapt tone for a youth audience.,WEL-Y10-S3,Curriculum mapping entry for visibility only.,2026-05-02
chemistry-numeracy-using-data-skills-collecting-data-year-9-water-quality-investigation,chemistry,year_9,spring,numeracy,numeracy_data,numeracy_collecting_data,Water quality investigation,Pupils collect water quality readings and organise results in a shared data table.,CHE-Y9-S2,Curriculum mapping entry for visibility only.,2026-04-08
biology-numeracy-using-data-skills-interpreting-trends-year-9-ecosystem-results-analysis,biology,year_9,spring,numeracy,numeracy_data,numeracy_interpreting_trends,Ecosystem results analysis,Pupils interpret reaction graphs and use data to justify conclusions.,BIO-Y9-S4,Curriculum mapping entry for visibility only.,2026-04-19
maths-numeracy-using-number-skills-use-of-calculation-year-7-budget-challenge,maths,year_7,autumn,numeracy,numeracy_number,numeracy_calculation,Budget challenge,Pupils calculate costs for a community event and compare different spending choices.,MAT-Y7-A2,Curriculum mapping entry for visibility only.,2026-03-28
maths-numeracy-developing-numerical-reasoning-justifying-decisions-year-10-data-led-recommendations,maths,year_10,summer,numeracy,numeracy_reasoning,numeracy_justifying_decisions,Data-led recommendations,Pupils use summary statistics to recommend an option and explain their numerical reasoning.,MAT-Y10-S1,Curriculum mapping entry for visibility only.,2026-05-05
dt-digital-competence-framework-producing-creating-digital-content-year-10-system-design-portfolio,dt,year_10,spring,dcf,dcf_producing,dcf_creating_content,System design portfolio,Pupils build a digital portfolio showing design choices system images and user feedback.,DT-Y10-S1,Curriculum mapping entry for visibility only.,2026-04-12
dt-digital-competence-framework-producing-evaluating-outputs-year-10-design-iteration-review,dt,year_10,spring,dcf,dcf_producing,dcf_evaluating_outputs,Design iteration review,Pupils review a system against audience needs and record improvements for the next iteration.,DT-Y10-S2,Curriculum mapping entry for visibility only.,2026-04-21
physics-digital-competence-framework-data-and-computational-thinking-data-handling-year-8-spreadsheet-model-of-results,physics,year_8,summer,dcf,dcf_data_thinking,dcf_data_handling,Spreadsheet model of results,Pupils structure experiment results in a spreadsheet and use formulae to compare outcomes.,PHY-Y8-SU2,Curriculum mapping entry for visibility only.,2026-05-01
art-cross-cutting-themes-diversity-culture-and-community-year-7-community-arts-brief,art,year_7,autumn,cct,cct_diversity,cct_culture_community,Community arts brief,Pupils research local community stories and use them to shape a creative response.,ART-Y7-A1,Curriculum mapping entry for visibility only.,2026-04-04
rse-cross-cutting-themes-relationships-and-sexuality-education-healthy-relationships-year-8-respectful-communication,rse,year_8,spring,cct,cct_rse,cct_healthy_relationships,Respectful communication,Pupils discuss scenario cards and identify respectful communication choices.,RSE-Y8-S1,Curriculum mapping entry for visibility only.,2026-03-30
geography-cross-cutting-themes-human-rights-voice-and-participation-year-9-local-decision-making-enquiry,geography,year_9,summer,cct,cct_human_rights,cct_voice_participation,Local decision-making enquiry,Pupils examine local consultation examples and plan how young people can share views.,GEO-Y9-SU1,Curriculum mapping entry for visibility only.,2026-05-06
english-literacy-reading-comparing-sources-year-8-persuasive-viewpoints,english,year_8,spring,literacy,literacy_reading,literacy_comparing_sources,Persuasive viewpoints,Pupils compare two persuasive articles and identify how writers shape viewpoint.,ENG-Y8-S2,Curriculum mapping entry for visibility only.,2026-05-08
biology-literacy-reading-comparing-sources-year-10-bias-in-science-media,biology,year_10,autumn,literacy,literacy_reading,literacy_comparing_sources,Bias in science media,Pupils compare science news reports and evaluate how evidence is selected.,BIO-Y10-A3,Curriculum mapping entry for visibility only.,2026-05-09
geography-numeracy-using-data-skills-interpreting-trends-year-9-population-change-enquiry,geography,year_9,summer,numeracy,numeracy_data,numeracy_interpreting_trends,Population change enquiry,Pupils interpret population graphs and connect trends to migration factors.,GEO-Y9-SU3,Curriculum mapping entry for visibility only.,2026-05-10
english-cross-cutting-themes-diversity-challenging-stereotypes-year-8-representation-in-fiction,english,year_8,summer,cct,cct_diversity,cct_challenging_stereotypes,Representation in fiction,Pupils analyse character descriptions and discuss how writers challenge stereotypes.,ENG-Y8-SU1,Curriculum mapping entry for visibility only.,2026-05-10
